Segment>>,Consumer,Unnamed: 2,Unnamed: 3,Unnamed: 4,Consumer Total,Corporate,Unnamed: 7,Unnamed: 8,Unnamed: 9,Corporate Total,Home Office,Unnamed: 12,Unnamed: 13,Unnamed: 14,Home Office Total
CA-2011-114321,,,,,-1.6689712624554668e-17,,,,1417.35,0.10229034714393169,,,,,8.449141758494671e-17
CA-2011-114335,,,,337.088,-0.07955728287088157,,,,,-2.6770475832846935e-17,,,,,8.449141758494671e-17
CA-2011-114790,,,,,-1.6689712624554668e-17,,,782.63,,-0.047170722942582385,,,,,8.449141758494671e-17
CA-2011-115084,,,,,-1.6689712624554668e-17,,,,605.34,-0.0889181912997132,,,,,8.449141758494671e-17
CA-2011-115357,,,62.91,,-0.11980778257411234,,,,,-2.6770475832846935e-17,,,,,8.449141758494671e-17
CA-2011-116190,,,,256.48,-0.09139088104461551,,,,,-2.6770475832846935e-17,,,,,8.449141758494671e-17
CA-2011-116239,,354.9,,,-0.07694240530698532,,,,,-2.6770475832846935e-17,,,,,8.449141758494671e-17
CA-2011-116407,,,,362.176,-0.0758742574765952,,,,,-2.6770475832846935e-17,,,,,8.449141758494671e-17
CA-2011-116568,,,,186.304,-0.10169301712837833,,,,,-2.6770475832846935e-17,,,,,8.449141758494671e-17
CA-2011-117016,,,,15.552,-0.12676013894459282,,,,,-2.6770475832846935e-17,,,,,8.449141758494671e-17
CA-2011-117345,,,,,-1.6689712624554668e-17,,,,202.896,-0.18368393192533883,,,,,8.449141758494671e-17
CA-2011-117639,,,,,-1.6689712624554668e-17,,,,3333.9,0.553591100033881,,,,,8.449141758494671e-17
CA-2011-120432,,,,,-1.6689712624554668e-17,,,25.5,,-0.22545636069561115,,,,,8.449141758494671e-17
CA-2011-120670,,,,,-1.6689712624554668e-17,,,,,-2.6770475832846935e-17,,,,799.92,-0.12082697242848418
CA-2011-120768,,,1979.89,,0.161613056884558,,,,,-2.6770475832846935e-17,,,,,8.449141758494671e-17
CA-2011-120950,,,,43.68,-0.12263082858543757,,,,,-2.6770475832846935e-17,,,,,8.449141758494671e-17
CA-2011-121286,,,,,-1.6689712624554668e-17,,,66.616,,-0.21577454610385868,,,,,8.449141758494671e-17
CA-2011-122217,,,,,-1.6689712624554668e-17,,,,,-2.6770475832846935e-17,,,,111.15,-0.37677196507787825
CA-2011-123400,,,,199.296,-0.09978573612062287,,,,,-2.6770475832846935e-17,,,,,8.449141758494671e-17
CA-2011-123925,,,40.05,,-0.12316372806651456,,,,,-2.6770475832846935e-17,,,,,8.449141758494671e-17
CA-2011-124023,8.96,,,,-0.12772787265788746,,,,,-2.6770475832846935e-17,,,,,8.449141758494671e-17
CA-2011-124618,,,479.984,,-0.058579540653807764,,,,,-2.6770475832846935e-17,,,,,8.449141758494671e-17
CA-2011-124688,,,,,-1.6689712624554668e-17,1812.01,,,,0.19522314573282704,,,,,8.449141758494671e-17
CA-2011-125136,,,,,-1.6689712624554668e-17,,,,106.944,-0.20627828628149775,,,,,8.449141758494671e-17
CA-2011-125682,,,,,-1.6689712624554668e-17,9.96,,,,-0.22911565145239274,,,,,8.449141758494671e-17
CA-2011-127299,,,,2692.329,0.2662021404655529,,,,,-2.6770475832846935e-17,,,,,8.449141758494671e-17
CA-2011-127488,,,4.608,,-0.12836676481812084,,,,,-2.6770475832846935e-17,,,,,8.449141758494671e-17
CA-2011-127614,,,,1508.13,0.09235667694161528,,,,,-2.6770475832846935e-17,,,,,8.449141758494671e-17
CA-2011-128839,,,,254.97,-0.09161255548440236,,,,,-2.6770475832846935e-17,,,,,8.449141758494671e-17
CA-2011-128846,,,,,-1.6689712624554668e-17,,,,752.92,-0.054166702890071576,,,,,8.449141758494671e-17
CA-2011-129091,,,,,-1.6689712624554668e-17,,,,1022.61,0.009338710507382409,,,,,8.449141758494671e-17
CA-2011-129819,,,,,-1.6689712624554668e-17,,,12.39,,-0.22854344575490373,,,,,8.449141758494671e-17
CA-2011-130155,34.2,,,,-0.12402253301535764,,,,,-2.6770475832846935e-17,,,,,8.449141758494671e-17
CA-2011-130428,,1142.165,,,0.03863145418890409,,,,,-2.6770475832846935e-17,,,,,8.449141758494671e-17
CA-2011-130918,,,7.632,,-0.1279228287214881,,,,,-2.6770475832846935e-17,,,,,8.449141758494671e-17
CA-2011-131527,,,,95.968,-0.11495472718969271,,,,,-2.6770475832846935e-17,,,,,8.449141758494671e-17
CA-2011-131541,,193.152,,,-0.10068770152330525,,,,,-2.6770475832846935e-17,,,,,8.449141758494671e-17
CA-2011-131905,,,,,-1.6689712624554668e-17,321.56,,,,-0.1557414558402208,,,,,8.449141758494671e-17
CA-2011-132010,,,,,-1.6689712624554668e-17,,,,,-2.6770475832846935e-17,389.74,,,,-0.27324870549602265
CA-2011-132612,,,1441.3,,0.08254574792773774,,,,,-2.6770475832846935e-17,,,,,8.449141758494671e-17
CA-2011-133634,,,,,-1.6689712624554668e-17,,,,,-2.6770475832846935e-17,,,,47.79,-0.4003163626768817
CA-2011-134551,,,,732.312,-0.021536714135572115,,,,,-2.6770475832846935e-17,,,,,8.449141758494671e-17
CA-2011-134621,,,,,-1.6689712624554668e-17,,,,,-2.6770475832846935e-17,,,,18.24,-0.41129705947376544
CA-2011-136336,,,,,-1.6689712624554668e-17,,,,828.84,-0.03628939566646406,,,,,8.449141758494671e-17
CA-2011-136567,,,,,-1.6689712624554668e-17,,,,,-2.6770475832846935e-17,2884.37,,,,0.6537487784434026
CA-2011-136861,31.984,,,,-0.1243478512660647,,,,,-2.6770475832846935e-17,,,,,8.449141758494671e-17
CA-2011-137911,,,,,-1.6689712624554668e-17,,,,88.768,-0.2105582907084773,,,,,8.449141758494671e-17
CA-2011-138296,,,,24.56,-0.12543772612763923,,,,,-2.6770475832846935e-17,,,,,8.449141758494671e-17
CA-2011-138527,,,,,-1.6689712624554668e-17,,,,192.424,-0.1861498323632421,,,,,8.449141758494671e-17
CA-2011-138709,,,,37.44,-0.12354688719753684,,,,,-2.6770475832846935e-17,,,,,8.449141758494671e-17
CA-2011-140165,,,,,-1.6689712624554668e-17,,,,,-2.6770475832846935e-17,405.456,,,,-0.2674086841471284
CA-2011-140886,,,,69.216,-0.11888203488053892,,,,,-2.6770475832846935e-17,,,,,8.449141758494671e-17
CA-2011-142727,,,69.9,,-0.11878162076344341,,,,,-2.6770475832846935e-17,,,,,8.449141758494671e-17
CA-2011-142951,,23.472,,,-0.12559744916769758,,,,,-2.6770475832846935e-17,,,,,8.449141758494671e-17
CA-2011-143182,,,,15.384,-0.12678480206107243,,,,,-2.6770475832846935e-17,,,,,8.449141758494671e-17
CA-2011-143840,,,,180.93,-0.10248194324719588,,,,,-2.6770475832846935e-17,,,,,8.449141758494671e-17
CA-2011-145317,,,,,-1.6689712624554668e-17,,,,,-2.6770475832846935e-17,,,,23661.228,8.374370710419976
CA-2011-145576,,,26.128,,-0.12520753704049634,,,,,-2.6770475832846935e-17,,,,,8.449141758494671e-17
CA-2011-146731,,,,147.344,-0.10741251128340852,,,,,-2.6770475832846935e-17,,,,,8.449141758494671e-17
CA-2011-146885,,,,,-1.6689712624554668e-17,,,,13.62,-0.22825381077222412,,,,,8.449141758494671e-17
CA-2011-148285,,,,,-1.6689712624554668e-17,,,,,-2.6770475832846935e-17,,,,22.32,-0.4097809429617084
CA-2011-148425,,,,,-1.6689712624554668e-17,,,,6.642,-0.2298969594788407,,,,,8.449141758494671e-17
CA-2011-149020,,,,,-1.6689712624554668e-17,,,,54.83,-0.21854986147447825,,,,,8.449141758494671e-17
CA-2011-149538,,,,,-1.6689712624554668e-17,,,,364.93,-0.14552887925581803,,,,,8.449141758494671e-17
CA-2011-149958,,,,370.782,-0.0746108599740749,,,,,-2.6770475832846935e-17,,,,,8.449141758494671e-17
CA-2011-151953,,,,,-1.6689712624554668e-17,,,,2.816,-0.2307978891078913,,,,,8.449141758494671e-17
CA-2011-151967,,,,,-1.6689712624554668e-17,,,,129.92,-0.2008679989952806,,,,,8.449141758494671e-17
CA-2011-152254,,310.688,,,-0.08343291546053243,,,,,-2.6770475832846935e-17,,,,,8.449141758494671e-17
CA-2011-152268,,,,1793.98,0.13432067602311895,,,,,-2.6770475832846935e-17,,,,,8.449141758494671e-17
CA-2011-152562,,,,,-1.6689712624554668e-17,,,,75.16,-0.21376264261441583,,,,,8.449141758494671e-17
CA-2011-152849,,,,,-1.6689712624554668e-17,,,,4.368,-0.23043243098340452,,,,,8.449141758494671e-17
CA-2011-153087,,,,,-1.6689712624554668e-17,,,,521.92,-0.10856156549087942,,,,,8.449141758494671e-17
CA-2011-153913,,,,,-1.6689712624554668e-17,,,1015.816,,0.007738889310369909,,,,,8.449141758494671e-17
CA-2011-153927,286.65,,,,-0.08696179637682133,,,,,-2.6770475832846935e-17,,,,,8.449141758494671e-17
CA-2011-154158,,,619.848,,-0.03804690896748476,,,,,-2.6770475832846935e-17,,,,,8.449141758494671e-17
CA-2011-155208,,,,,-1.6689712624554668e-17,,,,39.072,-0.2222604859111169,,,,,8.449141758494671e-17
CA-2011-155390,,,,42.208,-0.12284692446316355,,,,,-2.6770475832846935e-17,,,,,8.449141758494671e-17
CA-2011-155852,,,19.456,,-0.12618701509497174,,,,,-2.6770475832846935e-17,,,,,8.449141758494671e-17
CA-2011-156006,,,47.79,,-0.122027463057276,,,,,-2.6770475832846935e-17,,,,,8.449141758494671e-17
CA-2011-156244,,,,,-1.6689712624554668e-17,,,,,-2.6770475832846935e-17,,,,457.744,-0.2479786105730013
CA-2011-156790,,,155.456,,-0.10622163508767946,,,,,-2.6770475832846935e-17,,,,,8.449141758494671e-17
CA-2011-157609,,,,,-1.6689712624554668e-17,,,,,-2.6770475832846935e-17,,,471.92,,-0.24271084888797173
CA-2011-157784,514.03,,,,-0.05358144265580576,,,,,-2.6770475832846935e-17,,,,,8.449141758494671e-17
CA-2011-158274,,,,,-1.6689712624554668e-17,,,,,-2.6770475832846935e-17,,,682.91,,-0.16430755896666907
CA-2011-158470,,,129.33,,-0.1100570433087862,,,,,-2.6770475832846935e-17,,,,,8.449141758494671e-17
CA-2011-158771,,,,,-1.6689712624554668e-17,,158.71,,,-0.19408865659581193,,,,,8.449141758494671e-17
CA-2011-159184,,,,149.56,-0.10708719303270148,,,,,-2.6770475832846935e-17,,,,,8.449141758494671e-17
CA-2011-159681,,,,105.52,-0.11355245285270996,,,,,-2.6770475832846935e-17,,,,,8.449141758494671e-17
CA-2011-160094,1000.95,,,,0.017900489940891013,,,,,-2.6770475832846935e-17,,,,,8.449141758494671e-17
CA-2011-160276,,,,,-1.6689712624554668e-17,,,,177.68,-0.1896216845458668,,,,,8.449141758494671e-17
CA-2011-160773,,,,,-1.6689712624554668e-17,,,,581.104,-0.09462517783648021,,,,,8.449141758494671e-17
CA-2011-161634,,,,32.4,-0.12428678069192474,,,,,-2.6770475832846935e-17,,,,,8.449141758494671e-17
CA-2011-162775,,,,,-1.6689712624554668e-17,,,1287.26,,0.07165732690263693,,,,,8.449141758494671e-17
CA-2011-163013,,,,14.67,-0.12688962030611073,,,,,-2.6770475832846935e-17,,,,,8.449141758494671e-17
CA-2011-163223,,,,,-1.6689712624554668e-17,,,,3769.56,0.6561783980454305,,,,,8.449141758494671e-17
CA-2011-163293,,,,,-1.6689712624554668e-17,116.85,,,,-0.2039456650307462,,,,,8.449141758494671e-17
CA-2011-164315,,,,1220.67,0.05015632299384881,,,,,-2.6770475832846935e-17,,,,,8.449141758494671e-17
CA-2011-164749,9.912,,,,-0.12758811499783643,,,,,-2.6770475832846935e-17,,,,,8.449141758494671e-17
CA-2011-164910,,,,,-1.6689712624554668e-17,,,7.872,,-0.2296073244961611,,,,,8.449141758494671e-17
CA-2011-165764,,,,1395.673,0.07584750973955595,,,,,-2.6770475832846935e-17,,,,,8.449141758494671e-17
CA-2011-165806,,,,,-1.6689712624554668e-17,,,,,-2.6770475832846935e-17,,259.29,,,-0.3217235581915719
CA-2011-166051,,,,773.7,-0.015460779225705837,,,,,-2.6770475832846935e-17,,,,,8.449141758494671e-17
CA-2011-166457,,,40.54,,-0.1230917939767824,,,,,-2.6770475832846935e-17,,,,,8.449141758494671e-17
CA-2011-166730,39.128,,,,-0.12329908159862281,,,,,-2.6770475832846935e-17,,,,,8.449141758494671e-17
CA-2011-167199,,,,,-1.6689712624554668e-17,,,,,-2.6770475832846935e-17,,,,4374.88,1.2076180976556918
CA-2011-167850,,,,,-1.6689712624554668e-17,,,,193.936,-0.18579379326258225,,,,,8.449141758494671e-17
CA-2011-169257,,,,63.381,-0.1197386377654106,,,,,-2.6770475832846935e-17,,,,,8.449141758494671e-17
CA-2011-169684,,,,,-1.6689712624554668e-17,426.942,,,,-0.1309265666168514,,,,,8.449141758494671e-17
CA-2011-169775,,,709.0425,,-0.024952775974393347,,,,,-2.6770475832846935e-17,,,,,8.449141758494671e-17
CA-2012-100769,,,,,-1.6689712624554668e-17,,,,,-2.6770475832846935e-17,,255.968,,,-0.32295800403790853
CA-2012-100888,,,,47.952,-0.12200368076638496,,,,,-2.6770475832846935e-17,,,,,8.449141758494671e-17
CA-2012-101868,,,,175.32,-0.10330551517249671,,,,,-2.6770475832846935e-17,,,,,8.449141758494671e-17
CA-2012-102260,,,,,-1.6689712624554668e-17,,,,,-2.6770475832846935e-17,,,,763.508,-0.13435756910422458
CA-2012-102491,,,,3747.93,0.421168869149948,,,,,-2.6770475832846935e-17,,,,,8.449141758494671e-17
CA-2012-102582,,,,1918.79,0.1526433163077524,,,,,-2.6770475832846935e-17,,,,,8.449141758494671e-17
CA-2012-102722,106.5,,,,-0.11340858467324563,,,,,-2.6770475832846935e-17,,,,,8.449141758494671e-17
CA-2012-102778,18.176,,,,-0.1263749245538639,,,,,-2.6770475832846935e-17,,,,,8.449141758494671e-17
CA-2012-103093,,,,74.52,-0.11810338506025451,,,,,-2.6770475832846935e-17,,,,,8.449141758494671e-17
CA-2012-103135,,,,,-1.6689712624554668e-17,,,,,-2.6770475832846935e-17,,,,525.95,-0.22263345301874576
CA-2012-103772,,,,,-1.6689712624554668e-17,,,,,-2.6770475832846935e-17,,,,260.31,-0.32134452906355765
CA-2012-103793,,,,,-1.6689712624554668e-17,,,,74.352,-0.21395290689572083,,,,,8.449141758494671e-17
CA-2012-103870,,,,,-1.6689712624554668e-17,,,,284.44,-0.16448230995165794,,,,,8.449141758494671e-17
CA-2012-104038,,,,,-1.6689712624554668e-17,176.63,,,,-0.18986893392132503,,,,,8.449141758494671e-17
CA-2012-104115,,,,55.984,-0.12082454891183664,,,,,-2.6770475832846935e-17,,,,,8.449141758494671e-17
CA-2012-104241,,,,,-1.6689712624554668e-17,,,,192.22,-0.18619786938475968,,,,,8.449141758494671e-17
CA-2012-104941,,,,,-1.6689712624554668e-17,,,,976.29,-0.00156851908426011,,,,,8.449141758494671e-17
CA-2012-105571,,,,,-1.6689712624554668e-17,,,,1361.631,0.08916988242854466,,,,,8.449141758494671e-17
CA-2012-106187,,,,,-1.6689712624554668e-17,,,,268.4,-0.16825933850627683,,,,,8.449141758494671e-17
CA-2012-107678,,,,893.09,0.002066181943931115,,,,,-2.6770475832846935e-17,,,,,8.449141758494671e-17
CA-2012-108119,,,,301.96,-0.08471422308335336,,,,,-2.6770475832846935e-17,,,,,8.449141758494671e-17
CA-2012-108259,,,,,-1.6689712624554668e-17,,,,81.135,-0.21235567593026072,,,,,8.449141758494671e-17
CA-2012-109386,,,750.93,,-0.018803512334279713,,,,,-2.6770475832846935e-17,,,,,8.449141758494671e-17
CA-2012-109470,,,,,-1.6689712624554668e-17,,,596.48,,-0.09100450507738922,,,,,8.449141758494671e-17
CA-2012-109708,,,,,-1.6689712624554668e-17,,,467.04,,-0.12148446618149558,,,,,8.449141758494671e-17
CA-2012-110247,,,,8.226,-0.12783562698822096,,,,,-2.6770475832846935e-17,,,,,8.449141758494671e-17
CA-2012-110345,,,4.608,,-0.12836676481812084,,,,,-2.6770475832846935e-17,,,,,8.449141758494671e-17
CA-2012-110947,,,,,-1.6689712624554668e-17,,,,,-2.6770475832846935e-17,,,,113.1,-0.3760473505684392
CA-2012-111199,,,,115.296,-0.11211729436042105,,,,,-2.6770475832846935e-17,,,,,8.449141758494671e-17
CA-2012-111703,,,,27.504,-0.12500553437218725,,,,,-2.6770475832846935e-17,,,,,8.449141758494671e-17
CA-2012-112375,,,,78.192,-0.11756431980005762,,,,,-2.6770475832846935e-17,,,,,8.449141758494671e-17
CA-2012-113628,,,,,-1.6689712624554668e-17,,,,792.508,-0.04484469500850973,,,,,8.449141758494671e-17
CA-2012-114300,,,,371.66,-0.07448196582961605,,,,,-2.6770475832846935e-17,,,,,8.449141758494671e-17
CA-2012-114503,,,,84.96,-0.11657074853616531,,,,,-2.6770475832846935e-17,,,,,8.449141758494671e-17
CA-2012-115091,,,,,-1.6689712624554668e-17,,,,,-2.6770475832846935e-17,,,,75.04,-0.3901903394039517
CA-2012-115847,,,,,-1.6689712624554668e-17,,,,,-2.6770475832846935e-17,,,61.96,,-0.3950508305749581
CA-2012-115938,,,,535.36,-0.05045010768848557,,,,,-2.6770475832846935e-17,,,,,8.449141758494671e-17
CA-2012-116638,,,4297.644,,0.501869228747953,,,,,-2.6770475832846935e-17,,,,,8.449141758494671e-17
CA-2012-116750,,,,,-1.6689712624554668e-17,,,12.158,,-0.2285980760931002,,,,,8.449141758494671e-17
CA-2012-117828,194.32,,,,-0.10051623414206617,,,,,-2.6770475832846935e-17,,,,,8.449141758494671e-17
CA-2012-117884,,598.352,,,-0.04120261344275502,,,,,-2.6770475832846935e-17,,,,,8.449141758494671e-17
CA-2012-118444,,,,387.136,-0.07221002302819801,,,,,-2.6770475832846935e-17,,,,,8.449141758494671e-17
CA-2012-118843,,,,199.86,-0.09970293851529852,,,,,-2.6770475832846935e-17,,,,,8.449141758494671e-17
CA-2012-119480,,,,364.07,-0.07559621019914069,,,,,-2.6770475832846935e-17,,,,,8.449141758494671e-17
CA-2012-119592,,,,,-1.6689712624554668e-17,,,3.76,,-0.2305756001455746,,,,,8.449141758494671e-17
CA-2012-119634,,,,46.152,-0.12226792844295206,,,,,-2.6770475832846935e-17,,,,,8.449141758494671e-17
CA-2012-120516,,,,5.64,-0.12821526281688903,,,,,-2.6770475832846935e-17,,,,,8.449141758494671e-17
CA-2012-120621,,,,1270.379,0.05745381619077888,,,,,-2.6770475832846935e-17,,,,,8.449141758494671e-17
CA-2012-120845,,,,,-1.6689712624554668e-17,,,,22.549,-0.22615124917844656,,,,,8.449141758494671e-17
CA-2012-121552,,,,,-1.6689712624554668e-17,,,,19.56,-0.22685508573391763,,,,,8.449141758494671e-17
CA-2012-121720,,,,,-1.6689712624554668e-17,3165.744,,,,0.513994465767641,,,,,8.449141758494671e-17
CA-2012-122168,,,,,-1.6689712624554668e-17,,,,53.28,-0.21891484864777372,,,,,8.449141758494671e-17
CA-2012-122266,,,,194.1395,-0.10054273231185526,,,,,-2.6770475832846935e-17,,,,,8.449141758494671e-17
CA-2012-123092,,,,288.85,-0.08663882699435042,,,,,-2.6770475832846935e-17,,,,,8.449141758494671e-17
CA-2012-123330,,,,107.976,-0.11319190157846061,,,,,-2.6770475832846935e-17,,,,,8.449141758494671e-17
CA-2012-125066,,,,,-1.6689712624554668e-17,,,,62.46,-0.21675318267948188,,,,,8.449141758494671e-17
CA-2012-125563,,,,121.888,-0.11114956064712642,,,,,-2.6770475832846935e-17,,,,,8.449141758494671e-17
CA-2012-125696,,,,,-1.6689712624554668e-17,,,,,-2.6770475832846935e-17,,,,7.38,-0.4153326048955643
CA-2012-125976,,,,2026.78,0.16849670885913104,,,,,-2.6770475832846935e-17,,,,,8.449141758494671e-17
CA-2012-128027,,,269.49,,-0.08948095756009439,,,,,-2.6770475832846935e-17,,,,,8.449141758494671e-17
CA-2012-128083,,,,,-1.6689712624554668e-17,,,,45.976,-0.2206347623985802,,,,,8.449141758494671e-17
CA-2012-128139,,,,365.91,-0.07532609035198319,,,,,-2.6770475832846935e-17,,,,,8.449141758494671e-17
CA-2012-128958,,,,,-1.6689712624554668e-17,,,,,-2.6770475832846935e-17,,,,13.12,-0.41319963705752333
CA-2012-129098,,,,30.84,-0.12451579534494955,,,,,-2.6770475832846935e-17,,,,,8.449141758494671e-17
CA-2012-130218,59.48,,,,-0.12031132120223742,,,,,-2.6770475832846935e-17,,,,,8.449141758494671e-17
CA-2012-131422,,,,,-1.6689712624554668e-17,,,,207,-0.1827175400806907,,,,,8.449141758494671e-17
CA-2012-132318,182.91,,,,-0.10219127080297209,,,,,-2.6770475832846935e-17,,,,,8.449141758494671e-17
CA-2012-133242,,,,1046.47,0.024583020072743544,,,,,-2.6770475832846935e-17,,,,,8.449141758494671e-17
CA-2012-133396,,,,,-1.6689712624554668e-17,64.68,,,,-0.2162304268570845,,,,,8.449141758494671e-17
CA-2012-133977,,,,,-1.6689712624554668e-17,,,,,-2.6770475832846935e-17,,,3.444,,-0.4167952114130782
CA-2012-134257,,,498.93,,-0.05579818705367423,,,,,-2.6770475832846935e-17,,,,,8.449141758494671e-17
CA-2012-134719,,,,1801.632,0.13544402225705868,,,,,-2.6770475832846935e-17,,,,,8.449141758494671e-17
CA-2012-134782,,,,105.42,-0.1135671332791859,,,,,-2.6770475832846935e-17,,,,,8.449141758494671e-17
CA-2012-134894,,,,436.86,-0.06491032776729652,,,,,-2.6770475832846935e-17,,,,,8.449141758494671e-17
CA-2012-134992,,,,,-1.6689712624554668e-17,,,,,-2.6770475832846935e-17,,,80.38,,-0.3882060104396417
CA-2012-135510,,,,,-1.6689712624554668e-17,,,,,-2.6770475832846935e-17,,,,67.96,-0.3928212474689919
CA-2012-136147,,,,233.064,-0.09482844970822402,,,,,-2.6770475832846935e-17,,,,,8.449141758494671e-17
CA-2012-136224,,10.272,,,-0.127535265462523,,,,,-2.6770475832846935e-17,,,,,8.449141758494671e-17
CA-2012-137106,,,,,-1.6689712624554668e-17,,,,79.96,-0.21263235975517825,,,,,8.449141758494671e-17
CA-2012-137281,,,,,-1.6689712624554668e-17,,,,6.48,-0.22993510652534,,,,,8.449141758494671e-17
CA-2012-137974,2298.9,,,,0.20844508538548676,,,,,-2.6770475832846935e-17,,,,,8.449141758494671e-17
CA-2012-138457,,,,13.092,-0.1271212774359012,,,,,-2.6770475832846935e-17,,,,,8.449141758494671e-17
CA-2012-138625,197.72,,,,-0.10001709964188385,,,,,-2.6770475832846935e-17,,,,,8.449141758494671e-17
CA-2012-140718,,,,,-1.6689712624554668e-17,246.364,,,,-0.17344827873255994,,,,,8.449141758494671e-17
CA-2012-140830,,,,,-1.6689712624554668e-17,,,,,-2.6770475832846935e-17,,,89.36,,-0.384869067724379
CA-2012-141145,,,,87.168,-0.11624660471957633,,,,,-2.6770475832846935e-17,,,,,8.449141758494671e-17
CA-2012-141327,440.144,,,,-0.06442822256182631,,,,,-2.6770475832846935e-17,,,,,8.449141758494671e-17
CA-2012-141565,,,,1664.132,0.11525843585262713,,,,,-2.6770475832846935e-17,,,,,8.449141758494671e-17
CA-2012-141754,,,,,-1.6689712624554668e-17,,,,,-2.6770475832846935e-17,,,,11.696,-0.41372879144800595
CA-2012-142202,,,,,-1.6689712624554668e-17,,,717.12,,-0.0625967292152184,,,,,8.449141758494671e-17
CA-2012-142755,,,,919.49,0.005941814533581967,,,,,-2.6770475832846935e-17,,,,,8.449141758494671e-17
CA-2012-143119,,,,517.5,-0.05307203185709028,,,,,-2.6770475832846935e-17,,,,,8.449141758494671e-17
CA-2012-143532,,,,14.496,-0.12691516424817886,,,,,-2.6770475832846935e-17,,,,,8.449141758494671e-17
